cas,smiles
83-12-5,O=C1C=2C=CC=CC2C(=O)C1C=3C=CC=CC3
83-33-0,O=C1C=2C=CC=CC2CC1
84-58-2,N#CC=1C(=O)C(Cl)=C(Cl)C(=O)C1C#N
84-65-1,O=C1C=2C=CC=CC2C(=O)C=3C=CC=CC13
85-01-8,C=1C=CC2=C(C1)C=CC=3C=CC=CC32
85-41-6,O=C1NC(=O)C=2C=CC=CC12
86-73-7,C=1C=CC2=C(C1)C=3C=CC=CC3C2
86-81-7,O=CC1=CC(OC)=C(OC)C(OC)=C1
86-87-3,O=C(O)CC1=CC=CC=2C=CC=CC21
86-97-5,OC=1C=CC=2C(N)=CC=CC2C1
87-48-9,O=C1NC2=CC=C(Br)C=C2C1=O
87-51-4,O=C(O)CC1=CNC=2C=CC=CC21
87-62-7,NC=1C(=CC=CC1C)C
87-65-0,ClC1=CC=CC(Cl)=C1O
87-85-4,C=1(C(=C(C(=C(C1C)C)C)C)C)C
87-89-8,OC1C(O)C(O)C(O)C(O)C1O
87-90-1,O=C1N(Cl)C(=O)N(Cl)C(=O)N1Cl
87-91-2,O=C(OCC)C(O)C(O)C(=O)OCC
88-05-1,NC=1C(=CC(=CC1C)C)C
88-14-2,O=C(O)C=1OC=CC1
88-15-3,O=C(C=1SC=CC1)C
88-18-6,OC=1C=CC=CC1C(C)(C)C
88-43-7,O=S(=O)(O)C1=CC(N)=CC=C1Cl
88-65-3,O=C(O)C=1C=CC=CC1Br
88-67-5,O=C(O)C=1C=CC=CC1I
88-74-4,O=N(=O)C=1C=CC=CC1N
89-64-5,O=N(=O)C1=CC(Cl)=CC=C1O
89-92-9,BrCC=1C=CC=CC1C
89-98-5,O=CC=1C=CC=CC1Cl
90-02-8,O=CC=1C=CC=CC1O
90-04-0,O(C=1C=CC=CC1N)C
90-05-1,OC=1C=CC=CC1OC
90-11-9,BrC1=CC=CC=2C=CC=CC12
90-15-3,OC1=CC=CC=2C=CC=CC12
90-41-5,NC=1C=CC=CC1C=2C=CC=CC2
90-59-5,O=CC=1C=C(Br)C=C(Br)C1O
90-60-8,O=CC=1C=C(Cl)C=C(Cl)C1O
90-99-3,ClC(C=1C=CC=CC1)C=2C=CC=CC2
91-04-3,OC=1C(=CC(=CC1CO)C)CO
91-10-1,OC=1C(OC)=CC=CC1OC
91-13-4,BrCC=1C=CC=CC1CBr
91-16-7,O(C=1C=CC=CC1OC)C
91-55-4,C=1C=CC2=C(C1)NC(=C2C)C
91-56-5,O=C1NC=2C=CC=CC2C1=O
92-44-4,OC1=CC=2C=CC=CC2C=C1O
92-70-6,O=C(O)C1=CC=2C=CC=CC2C=C1O
92-82-0,N=1C2=CC=CC=C2N=C3C=CC=CC13
92-84-2,S1C=2C=CC=CC2NC=3C=CC=CC13
92-91-1,O=C(C=1C=CC(=CC1)C=2C=CC=CC2)C
93-04-9,O(C=1C=CC=2C=CC=CC2C1)C
93-08-3,O=C(C=1C=CC=2C=CC=CC2C1)C
93-09-4,O=C(O)C=1C=CC=2C=CC=CC2C1
93-11-8,O=S(=O)(Cl)C=1C=CC=2C=CC=CC2C1
93-53-8,O=CC(C=1C=CC=CC1)C
93-55-0,O=C(C=1C=CC=CC1)CC
93-91-4,O=C(C=1C=CC=CC1)CC(=O)C
94-02-0,O=C(OCC)CC(=O)C=1C=CC=CC1
94-36-0,O=C(OOC(=O)C=1C=CC=CC1)C=2C=CC=CC2
94-41-7,O=C(C=CC=1C=CC=CC1)C=2C=CC=CC2
95-01-2,O=CC1=CC=C(O)C=C1O
95-10-3,C1C2CC(C1C=C2)CN
95-13-6,C=1C=CC2=C(C1)C=CC2
95-14-7,N1=NC=2C=CC=CC2N1
95-16-9,N1=CSC=2C=CC=CC12
95-20-5,C=1C=CC=2NC(=CC2C1)C
95-47-6,C=1C=CC(=C(C1)C)C
95-48-7,OC=1C=CC=CC1C
95-50-1,ClC=1C=CC=CC1Cl
95-53-4,NC=1C=CC=CC1C
95-54-5,NC=1C=CC=CC1N
95-55-6,OC=1C=CC=CC1N
95-57-8,ClC=1C=CC=CC1O
95-64-7,NC1=CC=C(C(=C1)C)C
95-83-0,ClC1=CC=C(N)C(N)=C1
96-09-3,O1CC1C=2C=CC=CC2
96-10-6,CC[Al](CC)Cl
96-26-4,O=C(CO)CO
96-29-7,ON=C(C)CC
96-31-1,O=C(NC)NC
96-32-2,O=C(OC)CBr
96-33-3,O=C(OC)C=C
96-41-3,OC1CCCC1
96-45-7,S=C1NCCN1
96-47-9,O1CCCC1C
96-48-0,O=C1OCCC1
96-54-8,C=1C=CN(C1)C
97-30-3,OCC1OC(OC)C(O)C(O)C1O
97-69-8,O=C(O)C(NC(=O)C)C
97-88-1,O=C(OCCCC)C(=C)C
97-90-5,O=C(OCCOC(=O)C(=C)C)C(=C)C
98-01-1,O=CC=1OC=CC1
98-03-3,O=CC=1SC=CC1
98-06-6,C=1C=CC(=CC1)C(C)(C)C
98-08-8,FC(F)(F)C=1C=CC=CC1
98-09-9,O=S(=O)(Cl)C=1C=CC=CC1
98-29-3,OC1=CC=C(C=C1O)C(C)(C)C
98-31-7,O=S(=O)(Cl)C1=CC=C(Cl)C(Cl)=C1
98-52-2,OC1CCC(CC1)C(C)(C)C
98-54-4,OC1=CC=C(C=C1)C(C)(C)C
98-59-9,O=S(=O)(Cl)C1=CC=C(C=C1)C
98-68-0,O=S(=O)(Cl)C1=CC=C(OC)C=C1
98-73-7,O=C(O)C1=CC=C(C=C1)C(C)(C)C
98-74-8,O=N(=O)C1=CC=C(C=C1)S(=O)(=O)Cl
98-80-6,OB(O)C=1C=CC=CC1
98-82-8,C=1C=CC(=CC1)C(C)C
98-83-9,C=C(C=1C=CC=CC1)C
98-85-1,OC(C=1C=CC=CC1)C
98-86-2,O=C(C=1C=CC=CC1)C
98-88-4,O=C(Cl)C=1C=CC=CC1
98-89-5,O=C(O)C1CCCCC1
98-91-9,O=C(S)C=1C=CC=CC1
98-95-3,O=N(=O)C=1C=CC=CC1
98-98-6,O=C(O)C1=NC=CC=C1
99-03-6,O=C(C=1C=CC=C(N)C1)C
99-04-7,O=C(O)C1=CC=CC(=C1)C
99-06-9,O=C(O)C=1C=CC=C(O)C1
99-31-0,O=C(O)C1=CC(N)=CC(=C1)C(=O)O
99-34-3,O=C(O)C=1C=C(C=C(C1)N(=O)=O)N(=O)=O
99-36-5,O=C(OC)C1=CC=CC(=C1)C
99-51-4,O=N(=O)C1=CC=C(C(=C1)C)C
99-63-8,O=C(Cl)C1=CC=CC(=C1)C(=O)Cl
99-75-2,O=C(OC)C1=CC=C(C=C1)C
99-90-1,O=C(C1=CC=C(Br)C=C1)C
99-91-2,O=C(C1=CC=C(Cl)C=C1)C
99-92-3,O=C(C1=CC=C(N)C=C1)C
99-93-4,O=C(C1=CC=C(O)C=C1)C
99-94-5,O=C(O)C1=CC=C(C=C1)C
99-96-7,O=C(O)C1=CC=C(O)C=C1
100-01-6,O=N(=O)C1=CC=C(N)C=C1
100-06-1,O=C(C1=CC=C(OC)C=C1)C
100-07-2,O=C(Cl)C1=CC=C(OC)C=C1
100-09-4,O=C(O)C1=CC=C(OC)C=C1
100-10-7,O=CC1=CC=C(C=C1)N(C)C
100-13-0,O=N(=O)C1=CC=C(C=C)C=C1
100-17-4,O=N(=O)C1=CC=C(OC)C=C1
100-19-6,O=C(C1=CC=C(C=C1)N(=O)=O)C
100-21-0,O=C(O)C1=CC=C(C=C1)C(=O)O
100-32-3,O=N(=O)C1=CC=C(SSC2=CC=C(C=C2)N(=O)=O)C=C1
100-39-0,BrCC=1C=CC=CC1
100-42-5,C=CC=1C=CC=CC1
100-43-6,N=1C=CC(C=C)=CC1
100-44-7,ClCC=1C=CC=CC1
100-46-9,NCC=1C=CC=CC1
100-47-0,N#CC=1C=CC=CC1
100-51-6,OCC=1C=CC=CC1
100-52-7,O=CC=1C=CC=CC1
100-53-8,SCC=1C=CC=CC1
100-54-9,N#CC=1C=NC=CC1
100-58-3,C1=CC=[C-]C=C1.[Mg+2].[Br-]
100-61-8,C=1C=CC(=CC1)NC
100-63-0,NNC=1C=CC=CC1
100-66-3,O(C=1C=CC=CC1)C
100-68-5,S(C=1C=CC=CC1)C
100-76-5,N12CCC(CC1)CC2
100-83-4,O=CC=1C=CC=C(O)C1
100-84-5,O(C1=CC=CC(=C1)C)C
100-85-6,[OH-].C=1C=CC(=CC1)C[N+](C)(C)C
100-97-0,N12CN3CN(C1)CN(C2)C3
101-41-7,O=C(OC)CC=1C=CC=CC1
101-84-8,O(C=1C=CC=CC1)C=2C=CC=CC2
102-54-5,[CH]=12[CH]3=[CH]4[CH-]5[CH]1[Fe+2]23678945[CH]=%10[CH]9=[CH]8[CH-]7[CH]%106
102-71-6,OCCN(CCO)CCO
103-19-5,S(SC1=CC=C(C=C1)C)C2=CC=C(C=C2)C
103-26-4,O=C(OC)C=CC=1C=CC=CC1
103-30-0,C=1C=CC(=CC1)C=CC=2C=CC=CC2
103-49-1,C=1C=CC(=CC1)CNCC=2C=CC=CC2
103-50-4,O(CC=1C=CC=CC1)CC=2C=CC=CC2
103-63-9,BrCCC=1C=CC=CC1
103-67-3,C=1C=CC(=CC1)CNC
103-71-9,O=C=NC=1C=CC=CC1
103-72-0,S=C=NC=1C=CC=CC1
103-80-0,O=C(Cl)CC=1C=CC=CC1
103-83-3,C=1C=CC(=CC1)CN(C)C
103-84-4,O=C(NC=1C=CC=CC1)C
103-85-5,S=C(N)NC=1C=CC=CC1
103-89-9,O=C(NC1=CC=C(C=C1)C)C
